,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
40,1840-01-01,152.61178675452283,-170.4146329040811,302.3014210894127,152.61178675452283,152.61178675452283,-94.79543572690494,-94.79543572690494,-94.79543572690494,-94.79543572690494,-94.79543572690494,-94.79543572690494,0.0,0.0,0.0,57.816351027617884
41,1841-01-01,154.20677593432092,-244.12126621773737,238.72255139298494,154.20677593432092,154.20677593432092,-156.81675769108654,-156.81675769108654,-156.81675769108654,-156.81675769108654,-156.81675769108654,-156.81675769108654,0.0,0.0,0.0,-2.6099817567656203
42,1842-01-01,155.79740722018516,-201.54770100931475,261.17985039499337,155.79740722018516,155.79740722018516,-136.7484002160284,-136.7484002160284,-136.7484002160284,-136.7484002160284,-136.7484002160284,-136.7484002160284,0.0,0.0,0.0,19.049007004156778
43,1843-01-01,157.38803850604936,-187.9940728105215,265.72793713483287,157.38803850604936,157.38803850604936,-116.06628605988509,-116.06628605988509,-116.06628605988509,-116.06628605988509,-116.06628605988509,-116.06628605988509,0.0,0.0,0.0,41.32175244616427
44,1844-01-01,158.97866979191357,-173.09664797064278,308.3815571687895,158.97866979191357,158.97866979191357,-94.79543572729784,-94.79543572729784,-94.79543572729784,-94.79543572729784,-94.79543572729784,-94.79543572729784,0.0,0.0,0.0,64.18323406461573
45,1845-01-01,160.57365897171167,-232.0954938293924,239.67039722145734,160.57365897171167,160.57365897171167,-156.816757690908,-156.816757690908,-156.816757690908,-156.816757690908,-156.816757690908,-156.816757690908,0.0,0.0,0.0,3.7569012808036746
46,1846-01-01,162.1642902575759,-209.46902180213962,267.3127238034324,162.1642902575759,162.1642902575759,-136.7484002160228,-136.7484002160228,-136.7484002160228,-136.7484002160228,-136.7484002160228,-136.7484002160228,0.0,0.0,0.0,25.415890041553126
47,1847-01-01,163.76407930110125,-179.91966049388733,299.13219951706293,163.76407930110125,163.76407930110125,-116.06628605969055,-116.06628605969055,-116.06628605969055,-116.06628605969055,-116.06628605969055,-116.06628605969055,0.0,0.0,0.0,47.69779324141069
48,1848-01-01,165.36386834462664,-146.13151682045626,325.53640418536213,165.36386834462664,165.36386834462664,-94.79543572729175,-94.79543572729175,-94.79543572729175,-94.79543572729175,-94.79543572729175,-94.79543572729175,0.0,0.0,0.0,70.56843261733489
49,1849-01-01,166.9680403718329,-213.039829629036,253.44368370834937,166.9680403718329,166.9680403718329,-156.8167576914196,-156.8167576914196,-156.8167576914196,-156.8167576914196,-156.8167576914196,-156.8167576914196,0.0,0.0,0.0,10.151282680413289
50,1850-01-01,168.56782941535823,-180.7796286622553,275.9673534334694,168.56782941535823,168.56782941535823,-136.74840021675297,-136.74840021675297,-136.74840021675297,-136.74840021675297,-136.74840021675297,-136.74840021675297,0.0,0.0,0.0,31.819429198605263
51,1851-01-01,170.16761845888362,-184.0903388002495,291.9444320480195,170.16761845888362,170.16761845888362,-116.06628606048858,-116.06628606048858,-116.06628606048858,-116.06628606048858,-116.06628606048858,-116.06628606048858,0.0,0.0,0.0,54.101332398395044
52,1852-01-01,171.767407502409,-161.00713314403765,308.2680347591284,171.767407502409,171.767407502409,-94.7954357276423,-94.7954357276423,-94.7954357276423,-94.7954357276423,-94.7954357276423,-94.7954357276423,0.0,0.0,0.0,76.97197177476669
53,1853-01-01,173.40096041395228,-226.50945308704627,236.91013823133605,173.40096041395228,173.40096041395228,-156.816757691478,-156.816757691478,-156.816757691478,-156.816757691478,-156.816757691478,-156.816757691478,0.0,0.0,0.0,16.584202722474288
54,1854-01-01,175.03005006617445,-215.29142575871901,294.17218542363,175.03005006617445,175.03005006617445,-136.7484002166099,-136.7484002166099,-136.7484002166099,-136.7484002166099,-136.7484002166099,-136.7484002166099,0.0,0.0,0.0,38.28164984956456
55,1855-01-01,176.6591397183966,-180.57462222474064,286.3643837239679,176.6591397183966,176.6591397183966,-116.06628606045952,-116.06628606045952,-116.06628606045952,-116.06628606045952,-116.06628606045952,-116.06628606045952,0.0,0.0,0.0,60.592853657937084
56,1856-01-01,178.28822937061878,-142.3035164771738,314.64699575434287,178.28822937061878,178.28822937061878,-94.79543572782468,-94.79543572782468,-94.79543572782468,-94.79543572782468,-94.79543572782468,-94.79543572782468,0.0,0.0,0.0,83.4927936427941
57,1857-01-01,179.9217822821621,-211.53248659259825,256.637552176511,179.9217822821621,179.9217822821621,-156.81675769146403,-156.81675769146403,-156.81675769146403,-156.81675769146403,-156.81675769146403,-156.81675769146403,0.0,0.0,0.0,23.105024590698065
58,1858-01-01,181.55087193438425,-196.16357482925704,277.3953703056482,181.55087193438425,181.55087193438425,-136.7484002168621,-136.7484002168621,-136.7484002168621,-136.7484002168621,-136.7484002168621,-136.7484002168621,0.0,0.0,0.0,44.80247171752214
59,1859-01-01,183.1799615866064,-167.8462484563791,294.4293647701993,183.1799615866064,183.1799615866064,-116.06628606043212,-116.06628606043212,-116.06628606043212,-116.06628606043212,-116.06628606043212,-116.06628606043212,0.0,0.0,0.0,67.11367552617428
60,1860-01-01,184.97194049970713,-141.84440130504507,328.91035979757504,184.97194049970713,184.97194049970713,-94.79543572775327,-94.79543572775327,-94.79543572775327,-94.79543572775327,-94.79543572775327,-94.79543572775327,0.0,0.0,0.0,90.17650477195386
61,1861-01-01,186.76882894407657,-186.37020940934795,270.69156384638376,186.76882894407657,186.76882894407657,-156.8167576913681,-156.8167576913681,-156.8167576913681,-156.8167576913681,-156.8167576913681,-156.8167576913681,0.0,0.0,0.0,29.952071252708464
62,1862-01-01,188.56080785717734,-184.64644968112373,275.9124337909103,188.56080785717734,188.56080785717734,-136.74840021673353,-136.74840021673353,-136.74840021673353,-136.74840021673353,-136.74840021673353,-136.74840021673353,0.0,0.0,0.0,51.81240764044381
